Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,,,,,,,,,
D1,16/10/2004,Hamburger SV,Arminia Bielefeld,0,2,A,0,0,D,23,11,19,16,6,4,3,1,0,0,1.72,3.25,4.33,1.7,3.5,4.4,1.73,3.4,4.85,1.75,3.2,4,1.73,3.4,4,1.75,3.4,4.33,1.72,3.2,4.33,1.6,2.15,1.65,2.2,2.1,1.67,-1,1.88,1.96,-0.75,1.875,2.025,-0.75,,,,,,,,,
D1,16/10/2004,Hertha BSC,Bayer Leverkusen,3,1,H,1,0,H,13,9,19,20,4,0,4,2,0,0,2.37,3.2,2.62,2.3,3.2,2.8,2.47,3.2,2.75,2.4,2.9,2.7,2.4,3.25,2.5,2.4,3.2,2.7,2.37,3,2.7,1.71,2,1.65,2.2,1.72,2,0,2.14,1.7,-0.25,2.15,1.75,-0.25,,,,,,,,,
D1,16/10/2004,FSV Mainz 05,Werder Bremen,2,1,H,0,0,D,14,11,17,21,5,3,1,3,0,0,2.75,3.25,2.25,3.1,3.3,2.1,3.1,3.3,2.2,2.9,3,2.2,2.75,3.2,2.25,2.8,3.25,2.3,2.8,3.1,2.25,1.6,2.15,1.66,2.15,2,1.8,0.25,2,1.84,0.25,2,1.9,0.25,,,,,,,,,
D1,16/10/2004,FC Nürnberg,SC Freiburg,3,0,H,1,0,H,13,4,20,14,3,4,4,1,0,0,1.9,3.25,3.5,1.9,3.25,3.7,1.95,3.25,3.85,1.9,3.1,3.5,1.91,3.2,3.5,1.91,3.25,3.75,1.95,3.1,3.5,1.65,2.05,1.8,2,1.95,1.76,-0.5,,,,1.975,1.925,-0.5,,,,,,,,,
D1,16/10/2004,VfB Stuttgart,Borussia Dortmund,2,0,H,0,0,D,18,11,18,23,4,5,2,4,0,0,1.83,3.25,3.75,1.85,3.3,3.85,1.88,3.35,4,1.9,3.1,3.5,1.8,3.25,3.75,1.91,3.25,3.75,1.8,3.1,4,1.71,2,1.8,2,1.65,2.15,-0.25,1.88,1.96,-0.5,1.95,1.95,-0.5,,,,,,,,,
D1,17/10/2004,Hannover 96,VFL Wolfsburg,3,0,H,1,0,H,12,12,14,14,5,8,0,3,0,0,2.5,3.2,2.5,2.5,3.3,2.5,2.68,3.2,2.55,2.7,2.9,2.4,2.5,3.25,2.4,2.6,3.2,2.5,2.6,3.1,2.4,1.65,2.05,1.7,2.1,1.95,1.85,0,2,1.84,0,2.025,1.875,0,,,,,,,,,
D1,17/10/2004,Bor. Mönchengladbach,FC Kaiserslautern,2,0,H,0,0,D,13,8,9,27,7,3,1,3,1,1,1.9,3.25,3.5,1.9,3.25,3.7,1.95,3.25,3.85,1.9,3.1,3.5,1.91,3.25,3.4,1.95,3.25,3.6,2,3.1,3.3,1.6,2.15,1.66,2.15,1.95,1.76,-0.5,1.86,1.98,-0.5,1.875,2.025,-0.5,,,,,,,,,
D1,23/10/2004,Arminia Bielefeld,Hertha BSC,1,0,H,1,0,H,11,13,19,19,6,1,1,1,0,0,2.37,3.2,2.62,2.55,3.15,2.55,2.5,3.2,2.75,2.5,3,2.5,2.4,3.25,2.5,2.5,3.1,2.62,2.37,3.1,2.62,1.85,1.85,1.85,1.95,1.9,1.9,0,1.96,1.88,0,1.975,1.925,0,,,,,,,,,
D1,23/10/2004,Borussia Dortmund,Hamburger SV,0,2,A,0,1,A,19,8,13,23,4,0,0,5,0,0,1.61,3.6,4.5,1.65,3.5,4.8,1.65,3.6,5.1,1.6,3.4,4.6,1.62,3.5,4.5,1.57,3.6,5.5,1.61,3.3,5,1.55,2.25,1.61,2.25,2.05,1.75,-1,2.06,1.78,-1,2.1,1.8,-1,,,,,,,,,
D1,23/10/2004,FC Hansa Rostock,Bayern München,0,2,A,0,0,D,8,14,17,24,5,11,1,2,1,1,4.33,3.25,1.72,4.4,3.5,1.7,4.65,3.4,1.75,4,3.2,1.75,4,3.4,1.73,4.33,3.4,1.73,4.2,3.25,1.72,1.65,2.05,1.65,2.2,1.9,1.9,0.75,1.92,1.92,0.75,1.975,1.925,0.75,,,,,,,,,
D1,23/10/2004,FC Kaiserslautern,Bayer Leverkusen,0,0,D,0,0,D,14,16,25,18,7,3,2,0,0,0,2.7,3.2,2.3,2.6,3.3,2.4,2.85,3.3,2.35,2.9,3,2.2,2.6,3.2,2.38,2.75,3.2,2.38,2.5,3.1,2.5,1.6,2.15,1.61,2.25,2,1.8,0,2.04,1.8,0,2.1,1.8,0,,,,,,,,,
D1,23/10/2004,Bor. Mönchengladbach,Hannover 96,0,2,A,0,2,A,14,8,14,20,6,3,1,2,0,0,1.9,3.25,3.5,1.95,3.2,3.6,2,3.25,3.7,1.9,3.1,3.5,1.91,3.2,3.5,2,3.2,3.5,1.95,3.2,3.3,1.6,2.15,1.61,2.25,2,1.73,-0.5,1.74,2.1,-0.25,2.075,1.825,-0.5,,,,,,,,,
D1,23/10/2004,Werder Bremen,FC Nürnberg,4,1,H,2,0,H,19,8,24,20,5,1,1,1,0,0,1.53,3.75,5,1.55,3.7,5.3,1.55,3.65,6.25,1.55,3.5,4.8,1.5,3.4,6,1.5,3.75,6,1.53,3.5,5.5,1.55,2.25,1.61,2.25,1.85,1.95,-1,1.92,1.92,-1,1.925,1.975,-1,,,,,,,,,
D1,23/10/2004,VFL Wolfsburg,VFL Bochum,3,0,H,3,0,H,21,15,11,16,6,1,2,1,0,0,1.66,3.4,4.5,1.7,3.5,4.4,1.65,3.5,5.25,1.7,3.2,4.2,1.62,3.5,4.5,1.62,3.5,5,1.6,3.4,4.8,1.55,2.25,1.61,2.25,2,1.8,-1,2.08,1.76,-1,2.075,1.825,-1,,,,,,,,,
D1,24/10/2004,SC Freiburg,VfB Stuttgart,2,0,H,1,0,H,13,10,23,14,2,4,0,1,0,1,4,3.25,1.8,3.75,3.25,1.9,3.85,3.35,1.9,3.5,3.1,1.9,3.6,3.25,1.83,4.33,3.4,1.75,3.75,3.2,1.83,1.75,1.95,1.8,2,1.79,1.9,0.5,2.02,1.82,0.5,2.075,1.825,0.5,,,,,,,,,
D1,24/10/2004,FC Schalke 04,FSV Mainz 05,2,1,H,1,0,H,18,18,26,24,7,4,3,3,0,0,1.66,3.4,4.5,1.65,3.5,4.8,1.65,3.6,5.1,1.55,3.5,4.8,1.67,3.4,4.33,1.57,3.4,6,1.57,3.5,5,1.6,2.15,1.7,2.1,2,1.8,-1,2.08,1.76,-1,2.175,1.725,-1,,,,,,,,,
D1,26/10/2004,Bayern München,VFL Wolfsburg,2,0,H,2,0,H,26,11,11,14,6,3,1,1,0,0,1.57,3.4,5.5,1.5,3.8,5.8,1.55,3.7,6,1.45,3.8,5.4,1.53,3.5,5.5,1.53,3.6,6,1.53,3.5,5.5,1.65,2.05,,,2.05,1.77,-1,2.08,1.76,-1,2.075,1.825,-1,,,,,,,,,
D1,26/10/2004,VFL Bochum,Bor. Mönchengladbach,3,0,H,0,0,D,15,16,24,20,3,5,2,6,0,1,2,3.25,3.25,1.95,3.3,3.5,1.95,3.3,3.8,2,3,3.3,2,3.2,3.2,2,3.2,3.5,2,3.1,3.3,1.65,2.05,,,1.95,1.77,-0.5,1.96,1.88,-0.5,1.975,1.925,-0.5,,,,,,,,,
D1,26/10/2004,Hannover 96,FC Kaiserslautern,3,1,H,1,1,D,13,9,11,17,6,1,0,4,0,0,1.8,3.25,4,1.8,3.4,4,1.8,3.3,4.5,1.8,3.1,3.8,1.73,3.2,4.33,1.73,3.4,4.5,1.7,3.3,4.33,1.6,2.15,,,1.8,1.9,-0.5,1.94,1.9,-0.5,1.875,2.025,-0.5,,,,,,,,,
D1,26/10/2004,Hertha BSC,Borussia Dortmund,0,1,A,0,1,A,16,18,16,18,9,2,2,1,0,0,2.1,3.25,3,2,3.3,3.4,2.15,3.3,3.2,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3.25,1.95,3.2,3.3,1.75,1.95,,,1.9,1.9,-0.25,1.98,1.86,-0.25,1.975,1.925,-0.25,,,,,,,,,
D1,27/10/2004,Hamburger SV,SC Freiburg,4,0,H,2,0,H,21,2,16,11,5,1,1,1,0,1,1.66,3.4,4.5,1.6,3.7,4.8,1.65,3.45,5.25,1.65,3.3,4.4,1.67,3.25,4.5,1.67,3.5,4.75,1.66,3.3,4.5,1.6,2.15,1.6,2.2,1.85,1.95,-0.75,1.78,2.06,-0.75,1.8,2.1,-0.75,,,,,,,,,
D1,27/10/2004,Bayer Leverkusen,Arminia Bielefeld,3,2,H,0,1,A,18,9,11,11,7,6,2,1,0,0,1.57,3.4,5.5,1.5,3.8,5.8,1.55,3.7,6,1.55,3.5,4.8,1.53,3.5,5.5,1.57,3.6,5.5,1.57,3.3,5.5,1.6,2.15,1.6,2.2,1.85,1.95,-1,1.86,1.98,-1,1.9,2,-1,,,,,,,,,
D1,27/10/2004,FSV Mainz 05,FC Hansa Rostock,3,1,H,0,0,D,22,5,24,32,1,6,1,3,0,0,1.8,3.25,4,1.8,3.4,4,1.9,3.3,4,1.9,3.1,3.5,1.83,3.2,3.75,1.8,3.3,4.2,1.8,3.3,3.75,1.65,2.05,1.7,2.1,1.95,1.76,-0.5,2,1.84,-0.5,2.05,1.85,-0.5,,,,,,,,,
D1,27/10/2004,FC Nürnberg,FC Schalke 04,0,2,A,0,2,A,9,11,18,19,5,8,4,3,2,0,2.6,3.2,2.4,2.5,3.3,2.5,2.55,3.35,2.55,2.8,2.9,2.3,2.4,3.25,2.5,2.6,3.2,2.5,2.5,3.1,2.5,1.71,2,1.65,2.15,2,1.8,0,2.06,1.78,0,2.125,1.775,0,,,,,,,,,
D1,27/10/2004,VfB Stuttgart,Werder Bremen,1,2,A,1,0,H,14,10,25,21,7,4,3,5,0,1,1.83,3.25,3.75,1.85,3.3,3.85,2,3.25,3.7,1.9,3.1,3.5,1.91,3.25,3.4,1.91,3.25,3.75,1.8,3.3,3.75,1.65,2.05,,,2,1.73,-0.5,2.04,1.8,-0.5,2.075,1.825,-0.5,,,,,,,,,
D1,30/10/2004,Borussia Dortmund,Bayer Leverkusen,1,0,H,1,0,H,14,16,24,12,5,5,1,4,0,1,2.25,3.25,2.75,2.2,3.3,2.9,2.25,3.35,2.95,2.2,3,2.9,2.1,3.2,3,2.2,3.25,3,2.2,3.2,2.8,1.65,2.05,1.61,2.25,1.95,1.85,-0.25,1.92,1.92,-0.25,1.875,2.025,-0.25,,,,,,,,,
D1,30/10/2004,SC Freiburg,Hertha BSC,1,3,A,1,1,D,12,26,13,17,6,12,4,5,0,1,2.37,3.2,2.62,2.5,3.3,2.5,2.5,3.3,2.62,2.5,3,2.5,2.2,3.25,2.75,2.4,3.2,2.7,2.37,3.1,2.62,1.79,1.9,1.8,2,1.9,1.9,0,1.96,1.88,0,2.075,1.825,0,,,,,,,,,
D1,30/10/2004,Hannover 96,VFL Bochum,3,0,H,1,0,H,22,12,16,15,7,3,0,1,0,0,1.8,3.25,4,1.85,3.3,3.85,1.9,3.25,4.1,1.85,3.1,3.6,1.8,3.25,3.75,1.85,3.25,4,1.83,3.2,3.75,1.6,2.15,1.6,2.3,1.9,1.81,-0.5,1.94,1.9,-0.5,1.925,1.972,-0.5,,,,,,,,,
D1,30/10/2004,Bor. Mönchengladbach,Bayern München,2,0,H,0,0,D,12,16,18,13,3,5,2,2,0,1,4.5,3.4,1.66,4.3,3.4,1.75,4.5,3.5,1.75,3.8,3.1,1.8,4.33,3.4,1.67,4.5,3.4,1.73,4.33,3.3,1.7,1.71,2,1.7,2.1,1.97,1.75,0.5,2.08,1.76,0.5,2.125,1.775,0.5,,,,,,,,,
D1,30/10/2004,FC Schalke 04,VfB Stuttgart,3,2,H,3,2,H,12,18,26,23,6,6,3,2,0,0,2.1,3.25,3,2.2,3.3,2.9,2.2,3.3,3.1,2.1,3,3.1,2.2,3.2,2.8,2.25,3.1,3,2.1,3.2,3,1.75,1.95,1.75,2.05,1.85,1.95,-0.25,1.82,2.02,-0.25,1.825,2.075,-0.25,,,,,,,,,
D1,30/10/2004,Werder Bremen,Hamburger SV,1,1,D,0,1,A,20,3,16,33,9,2,1,5,0,0,1.61,3.4,5,1.65,3.5,4.8,1.65,3.5,5.25,1.7,3.2,4.2,1.53,3.5,5.5,1.57,3.6,5.5,1.57,3.3,5.5,1.55,2.25,1.57,2.35,1.85,1.95,-0.75,1.82,2.02,-0.75,1.85,2.05,-0.75,,,,,,,,,
D1,30/10/2004,VFL Wolfsburg,FSV Mainz 05,4,3,H,2,2,D,19,15,25,22,12,4,2,2,0,1,1.66,3.4,4.5,1.6,3.6,5,1.63,3.6,5.25,1.65,3.3,4.4,1.67,3.4,4.33,1.62,3.5,5.25,1.6,3.4,4.8,1.6,2.15,1.65,2.2,1.8,2,-0.75,2.04,1.8,-1,1.75,2.15,-0.75,,,,,,,,,
D1,31/10/2004,FC Hansa Rostock,FC Nürnberg,0,2,A,0,0,D,13,22,21,12,11,2,2,2,0,0,2,3.25,3.25,2.05,3.3,3.2,2,3.3,3.6,2,3.1,3.2,2,3.2,3.2,2,3.25,3.4,2.05,3.2,3.1,1.6,2.15,1.6,2.3,2,1.72,-0.5,1.96,1.88,-0.5,1.95,1.95,-0.5,,,,,,,,,
D1,31/10/2004,FC Kaiserslautern,Arminia Bielefeld,2,1,H,0,0,D,25,16,28,15,9,3,2,2,0,0,2.1,3.25,3,2,3.3,3.35,2.1,3.35,3.25,2,3.1,3.2,2.1,3.4,2.88,2.1,3.2,3.25,2.1,3.2,3,1.75,1.95,1.75,2.05,1.72,2,-0.25,2.08,1.76,-0.5,1.875,2.025,-0.25,,,,,,,,,
D1,06/11/2004,Bayern München,Hannover 96,3,0,H,1,0,H,14,7,14,16,2,8,2,2,0,0,1.4,3.75,7.5,1.35,4.5,7.2,1.41,4.25,7.5,1.45,3.8,5.4,1.4,3.75,7,1.4,4,7.5,1.44,3.6,6.5,1.65,2.05,1.65,2.2,1.95,1.85,-1.25,1.98,1.86,-1.25,2.05,1.85,-1.25,,,,,,,,,
D1,06/11/2004,Arminia Bielefeld,Borussia Dortmund,1,0,H,1,0,H,16,17,19,19,4,5,2,4,0,1,2.6,3.2,2.4,2.6,3.3,2.4,2.65,3.3,2.5,2.7,2.9,2.4,2.5,3.25,2.4,2.7,3.1,2.5,2.6,3.1,2.4,1.85,1.85,1.9,1.9,2.05,1.75,0,2.08,1.76,0,2.125,1.775,0,,,,,,,,,
D1,06/11/2004,VFL Bochum,FC Kaiserslautern,1,1,D,0,1,A,19,17,21,28,5,6,2,2,0,0,1.9,3.25,3.5,1.9,3.35,3.6,1.93,3.3,3.85,1.85,3.1,3.6,1.83,3.25,3.6,1.91,3.25,3.75,1.9,3.25,3.4,1.6,2.15,1.7,2.1,1.93,1.78,-0.5,1.98,1.86,-0.5,2,1.9,-0.5,,,,,,,,,
D1,06/11/2004,Hertha BSC,Werder Bremen,1,1,D,0,0,D,10,6,24,19,6,2,2,3,0,0,2.37,3.2,2.62,2.5,3.3,2.5,2.55,3.3,2.6,2.5,3,2.5,2.4,3.25,2.5,2.5,3.2,2.6,2.5,3.1,2.5,1.65,2.05,1.66,2.15,1.9,1.9,0,1.92,1.92,0,1.95,1.95,0,,,,,,,,,
D1,06/11/2004,Bayer Leverkusen,SC Freiburg,4,1,H,0,1,A,29,14,19,20,4,3,2,5,0,1,1.4,3.75,7.5,1.35,4.5,7.2,1.41,4.25,7.5,1.35,4,7,1.4,3.75,7,1.44,4,6.5,1.44,3.6,6.5,1.5,2.35,1.6,2.3,1.8,2,-1.25,1.8,2.04,-1.25,1.825,2.075,-1.25,,,,,,,,,
D1,06/11/2004,FSV Mainz 05,Bor. Mönchengladbach,1,1,D,0,1,A,17,5,8,21,7,2,2,1,0,0,1.9,3.25,3.5,1.9,3.35,3.6,2.05,3.3,3.5,2.1,3,3.1,1.91,3.2,3.5,1.91,3.4,3.6,1.83,3.3,3.6,1.6,2.15,1.65,2.2,1.7,2.05,-0.25,2.12,1.72,-0.5,1.925,1.975,-0.25,,,,,,,,,
D1,06/11/2004,FC Nürnberg,VFL Wolfsburg,4,0,H,3,0,H,14,6,18,7,6,5,3,1,0,1,2.62,3.2,2.37,2.6,3.3,2.4,2.6,3.3,2.55,2.7,2.9,2.4,2.5,3.25,2.4,2.7,3.25,2.4,2.6,3.1,2.4,1.6,2.15,1.66,2.15,1.8,2,0.25,1.78,2.06,0.25,1.825,2.075,0.25,,,,,,,,,
D1,07/11/2004,Hamburger SV,FC Schalke 04,1,2,A,0,0,D,13,19,26,19,1,5,2,1,0,0,2.37,3.2,2.62,2.4,3.3,2.6,2.45,3.25,2.75,2.3,2.9,2.8,2.4,3.25,2.5,2.5,3.2,2.6,2.5,3.1,2.5,1.65,2.05,1.65,2.2,1.8,2,0,1.8,2.04,0,1.85,2.05,0,,,,,,,,,
D1,07/11/2004,VfB Stuttgart,FC Hansa Rostock,4,0,H,2,0,H,15,12,12,19,4,9,1,2,0,0,1.4,3.75,7.5,1.35,4.5,7.2,1.41,4.25,7.5,1.45,3.8,5.4,1.4,3.75,7,1.4,4,7.5,1.4,3.75,7,1.65,2.05,1.66,2.15,1.85,1.95,-1.25,1.76,2.08,-1.25,1.775,2.125,-1.25,,,,,,,,,
D1,13/11/2004,SC Freiburg,Arminia Bielefeld,2,3,A,2,2,D,12,9,21,21,5,2,1,2,0,0,2.25,3.25,2.75,2.15,3.3,3,2.3,3.2,3,2.2,3,2.9,2.25,3.2,2.75,2.25,3.25,2.9,2.3,3.1,2.75,1.75,1.95,1.8,2,2,1.8,-0.25,2,1.84,-0.25,2.05,1.85,-0.25,,,,,,,,,
D1,13/11/2004,Hannover 96,FSV Mainz 05,2,0,H,1,0,H,14,11,19,11,9,5,2,1,0,0,1.72,3.25,4.33,1.75,3.4,4.3,1.75,3.4,4.6,1.75,3.2,4,1.8,3.25,3.75,1.73,3.3,4.5,1.72,3.25,4.2,1.55,2.25,1.61,2.25,2,1.8,-0.75,2,1.84,-0.75,2,1.8,-0.75,,,,,,,,,
D1,13/11/2004,FC Kaiserslautern,Borussia Dortmund,1,0,H,0,0,D,15,18,14,25,5,7,1,2,0,0,2.6,3.2,2.4,2.4,3.3,2.6,2.5,3.25,2.7,2.4,2.9,2.7,2.5,3.2,2.5,2.5,3.2,2.6,2.37,3.25,2.5,1.85,1.85,1.9,1.9,1.9,1.9,0,1.88,1.96,0,1.875,2.025,0,,,,,,,,,
D1,13/11/2004,Bor. Mönchengladbach,FC Nürnberg,2,1,H,1,0,H,8,16,26,15,7,6,2,2,0,0,1.9,3.25,3.5,1.9,3.35,3.6,1.85,3.35,4.15,1.85,3.1,3.6,1.91,3.25,3.4,1.91,3.25,3.75,1.95,3.2,3.3,1.6,2.15,1.75,2.05,1.85,1.85,-0.5,1.86,1.98,-0.5,1.875,2.025,-0.5,,,,,,,,,
D1,13/11/2004,FC Schalke 04,Hertha BSC,1,3,A,0,1,A,17,13,9,23,7,5,0,2,0,0,1.66,3.4,4.5,1.65,3.5,4.8,1.7,3.5,4.85,1.7,3.2,4.2,1.67,3.4,4.33,1.67,3.5,4.75,1.61,3.3,5,1.65,2.05,1.75,2.05,1.9,1.9,-0.75,1.92,1.92,-0.75,1.95,1.95,-0.75,,,,,,,,,
D1,13/11/2004,Werder Bremen,Bayer Leverkusen,2,2,D,1,0,H,18,10,17,11,11,1,2,1,0,0,1.9,3.25,3.5,1.8,3.4,4,1.9,3.4,3.85,1.9,3.1,3.5,1.91,3.2,3.5,1.85,3.25,4,1.83,3.2,3.75,1.55,2.25,1.65,2.2,1.9,1.81,-0.5,1.88,1.96,-0.5,1.925,1.975,-0.5,,,,,,,,,
D1,13/11/2004,VFL Wolfsburg,VfB Stuttgart,3,0,H,1,0,H,13,10,17,17,3,4,3,3,0,0,2.37,3.2,2.62,2.4,3.3,2.6,2.35,3.3,2.85,2.5,3,2.5,2.4,3.25,2.5,2.38,3.2,2.75,2.25,3.2,2.75,1.6,2.15,1.7,2.1,1.75,2,0,2.14,1.7,-0.25,2.15,1.75,-0.25,,,,,,,,,
D1,14/11/2004,VFL Bochum,Bayern München,1,3,A,0,0,D,6,20,23,19,3,5,3,2,0,0,4.5,3.4,1.66,4.4,3.5,1.7,4.35,3.4,1.8,3.8,3.1,1.8,4,3.4,1.73,4.33,3.4,1.75,4.2,3.25,1.72,1.65,2.05,1.7,2.1,1.91,1.8,0.5,2.1,1.74,0.5,2.125,1.775,0.5,,,,,,,,,
D1,14/11/2004,FC Hansa Rostock,Hamburger SV,0,6,A,0,3,A,10,12,16,17,1,5,3,2,0,0,2.5,3.2,2.5,2.6,3.3,2.4,2.65,3.3,2.5,2.4,2.9,2.7,2.5,3.2,2.5,2.6,3.2,2.5,2.4,3.25,2.5,1.6,2.15,1.85,1.95,1.9,1.9,0,1.98,1.86,0,2,1.9,0,,,,,,,,,
D1,20/11/2004,Bayern München,FC Kaiserslautern,3,1,H,2,1,H,28,9,14,23,11,2,2,3,0,0,1.28,4.5,8.5,1.3,4.7,8.3,1.33,4.75,8.5,1.3,4.2,8,1.33,4,8,1.3,4.5,9.5,1.28,4.5,8,1.6,2.15,1.6,2.3,1.85,1.7,-1.5,2.04,1.8,-1.5,2.025,1.875,-1.5,,,,,,,,,
D1,20/11/2004,Arminia Bielefeld,Werder Bremen,2,1,H,1,0,H,14,15,13,20,2,9,1,1,0,1,2.8,3.2,2.25,2.9,3.3,2.2,2.95,3.2,2.35,2.5,3,2.5,2.6,3.2,2.38,2.7,3.2,2.4,2.62,3.1,2.37,1.65,2.05,1.75,2.05,1.85,1.95,0.25,1.84,2,0.25,1.875,2.025,0.25,,,,,,,,,
D1,20/11/2004,Borussia Dortmund,SC Freiburg,2,0,H,1,0,H,19,15,16,23,5,8,2,3,0,0,1.5,3.5,6,1.5,3.9,5.6,1.55,3.85,5.75,1.45,3.8,5.4,1.5,3.4,6,1.53,3.6,6,1.53,3.5,5.5,1.71,2,1.65,2.2,1.75,1.95,-1,2.08,1.76,-1.25,2.125,1.775,-1.25,,,,,,,,,
D1,20/11/2004,Hertha BSC,FC Hansa Rostock,1,1,D,0,1,A,30,8,12,26,8,3,1,4,0,0,1.4,3.75,7.5,1.45,4.1,6,1.5,4,6.2,1.55,3.5,4.8,1.44,3.6,6.5,1.5,3.6,6.5,1.53,3.5,5.5,1.71,2,1.6,2.3,1.9,1.9,-1.25,1.94,1.9,-1.25,1.95,1.95,-1.25,,,,,,,,,
D1,20/11/2004,Bayer Leverkusen,FC Schalke 04,0,3,A,0,2,A,15,12,16,18,7,6,0,0,0,0,2.1,3.25,3,2.3,3.3,2.75,2.3,3.2,3,2.2,3,2.9,2.1,3.2,3,2.2,3.2,3,2.15,3.2,2.9,1.6,2.15,1.65,2.2,1.9,1.9,-0.25,1.88,1.96,-0.25,1.925,1.975,-0.25,,,,,,,,,
D1,20/11/2004,FSV Mainz 05,VFL Bochum,1,0,H,1,0,H,24,10,14,22,6,3,1,4,0,1,1.9,3.25,3.5,1.95,3.3,3.5,2,3.25,3.7,2,3.1,3.2,1.91,3.2,3.5,1.91,3.25,3.75,1.83,3.3,3.6,1.65,2.05,1.7,2.1,2,1.73,-0.5,2.06,1.78,-0.5,2.1,1.8,-0.5,,,,,,,,,
D1,20/11/2004,VfB Stuttgart,Bor. Mönchengladbach,1,0,H,0,0,D,17,9,20,14,2,5,3,4,0,0,1.5,3.5,6,1.55,3.8,5.2,1.58,3.8,5.5,1.55,3.5,4.8,1.5,3.4,6,1.53,3.6,6,1.53,3.5,5.5,1.65,2.05,1.61,2.25,1.85,1.95,-1,1.84,2,-1,1.875,2.025,-1,,,,,,,,,
D1,21/11/2004,Hamburger SV,VFL Wolfsburg,3,1,H,2,1,H,19,6,18,19,7,3,1,3,0,1,2.2,3.25,2.8,2.2,3.3,2.9,2.25,3.2,3.1,2.2,3,2.9,2.2,3.25,2.75,2.3,3.2,2.88,2.3,3.2,2.62,1.6,2.15,1.61,2.25,1.85,1.95,-0.25,1.82,2.02,-0.25,1.9,2,-0.25,,,,,,,,,
D1,21/11/2004,FC Nürnberg,Hannover 96,1,1,D,0,0,D,14,7,16,13,1,6,1,0,0,0,2.2,3.25,2.8,2.25,3.3,2.8,2.3,3.2,3,2.2,3,2.9,2.2,3.25,2.75,2.25,3.25,2.88,2.25,3.2,2.75,1.65,2.05,1.7,2.1,2,1.8,-0.25,2.04,1.8,-0.25,2.075,1.825,-0.25,,,,,,,,,
D1,27/11/2004,Bayern München,FSV Mainz 05,4,2,H,3,0,H,15,18,20,13,7,4,1,1,0,0,1.28,4.5,8.5,1.25,5,10,1.3,5,9,1.3,4.2,8,1.29,4.5,8,1.25,5,10.5,1.25,4.5,10,1.55,2.25,1.61,2.25,1.6,2.2,-1.25,1.94,1.9,-1.5,1.95,1.95,-1.5,,,,,,,,,
D1,27/11/2004,VFL Bochum,FC Nürnberg,3,1,H,2,0,H,13,22,19,24,4,7,2,2,0,0,2.1,3.25,3,2.05,3.3,3.2,2.1,3.35,3.3,2,3.1,3.2,2,3.2,3.2,2,3.2,3.5,2.05,3.2,3.1,1.65,2.05,1.7,2.1,1.85,1.95,-0.25,2,1.84,-0.5,2.05,1.85,-0.5,,,,,,,,,
D1,27/11/2004,FC Hansa Rostock,Bayer Leverkusen,0,2,A,0,1,A,14,9,13,13,8,5,2,2,0,0,2.87,3.2,2.2,3.3,3.4,2,3.2,3.3,2.15,2.9,3,2.2,3,3.2,2.1,3.2,3.25,2.1,2.9,3.2,2.15,1.65,2.05,1.65,2.2,1.9,1.9,0.25,1.94,1.9,0.25,1.975,1.925,0.25,,,,,,,,,
D1,27/11/2004,FC Kaiserslautern,SC Freiburg,3,0,H,1,0,H,16,9,26,23,3,6,0,1,0,0,1.66,3.4,4.5,1.65,3.6,4.6,1.75,3.5,4.5,1.65,3.3,4.4,1.73,3.2,4.33,1.73,3.4,4.5,1.72,3.25,4.2,1.71,2,1.8,2,1.75,1.97,-0.5,1.94,1.9,-0.75,1.975,1.925,-0.75,,,,,,,,,
D1,27/11/2004,Bor. Mönchengladbach,Hamburger SV,1,3,A,0,2,A,21,11,22,25,4,5,4,4,0,1,2.3,3.2,2.7,2.2,3.3,2.9,2.35,3.35,2.8,2.2,3,2.9,2.2,3.25,2.75,2.3,3.25,2.8,2.2,3.2,2.8,1.65,2.05,1.66,2.15,1.75,2.05,0,1.96,1.88,-0.25,2.025,1.875,-0.25,,,,,,,,,
D1,27/11/2004,Werder Bremen,Borussia Dortmund,2,0,H,1,0,H,16,13,21,28,8,2,1,2,0,0,1.8,3.25,4,1.75,3.4,4.2,1.8,3.5,4.2,1.85,3.1,3.6,1.73,3.4,4,1.8,3.4,4,1.83,3.2,3.75,1.65,2.05,1.75,2.05,1.8,1.91,-0.5,1.82,2.02,-0.5,1.825,2.075,-0.5,,,,,,,,,
D1,27/11/2004,VFL Wolfsburg,Hertha BSC,2,3,A,0,1,A,16,10,15,24,6,1,1,0,0,0,1.83,3.25,3.75,1.9,3.35,3.6,1.9,3.3,4,1.8,3.1,3.8,1.8,3.25,3.75,1.83,3.3,4,1.72,3.25,4.2,1.6,2.15,1.65,2.2,1.9,1.81,-0.5,1.92,1.92,-0.5,1.975,1.925,-0.5,,,,,,,,,
